TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-19 03:59:36,1768795176034,www.soulprintengine.ai/,GET,_rsc=ivliq,200,cp8l6-1768795176034-392fe3c5b82b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,www.soulprintengine.ai,soulprint-landing-qu29tk2np-a55ets-projects.vercel.app,dpl_G6iyZKPmnXwodmXH4L8wJs9EAkGS,11,iad1,123,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KFA6GZ3CQ14C1HFPP0H5WD1H,fRZOAFHEresV,1
2026-01-19 03:59:36,1768795176034,www.soulprintengine.ai/,GET,_rsc=ivliq,200,cp8l6-1768795176034-392fe3c5b82b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/index.segments/__PAGE__.segment,www.soulprintengine.ai,soulprint-landing-qu29tk2np-a55ets-projects.vercel.app,dpl_G6iyZKPmnXwodmXH4L8wJs9EAkGS,,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-19 03:59:36,1768795176030,www.soulprintengine.ai/,GET,_rsc=1pn8p,200,rx94z-1768795176030-175e5db441cd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,www.soulprintengine.ai,soulprint-landing-qu29tk2np-a55ets-projects.vercel.app,dpl_G6iyZKPmnXwodmXH4L8wJs9EAkGS,26,iad1,124,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KFA6GZ38TDJX8V90SR5XR22H,cxZyUL6v4xl0,1
2026-01-19 03:59:36,1768795176030,www.soulprintengine.ai/,GET,_rsc=1pn8p,200,rx94z-1768795176030-175e5db441cd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/index.segments/_head.segment,www.soulprintengine.ai,soulprint-landing-qu29tk2np-a55ets-projects.vercel.app,dpl_G6iyZKPmnXwodmXH4L8wJs9EAkGS,,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-19 03:59:35,1768795175882,www.soulprintengine.ai/enter,GET,_rsc=33vlc,200,rx94z-1768795175882-63c343958c7a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,middleware,middleware,www.soulprintengine.ai,soulprint-landing-qu29tk2np-a55ets-projects.vercel.app,dpl_G6iyZKPmnXwodmXH4L8wJs9EAkGS,11,iad1,122,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KFA6GYYNDC541TTCYSKTNYCW,fRZOAFHEresV,1
2026-01-19 03:59:35,1768795175882,www.soulprintengine.ai/enter,GET,_rsc=33vlc,200,rx94z-1768795175882-63c343958c7a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/enter.segments/enter/__PAGE__.segment,www.soulprintengine.ai,soulprint-landing-qu29tk2np-a55ets-projects.vercel.app,dpl_G6iyZKPmnXwodmXH4L8wJs9EAkGS,,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-19 03:59:35,1768795175844,www.soulprintengine.ai/enter,GET,_rsc=1cq6r,200,mtqrs-1768795175844-5aa3b764c840,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,middleware,middleware,www.soulprintengine.ai,soulprint-landing-qu29tk2np-a55ets-projects.vercel.app,dpl_G6iyZKPmnXwodmXH4L8wJs9EAkGS,549,iad1,124,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KFA6GYXS0K8X2PVYYWBZ99VG,cxZyUL6v4xl0,1
2026-01-19 03:59:35,1768795175844,www.soulprintengine.ai/enter,GET,_rsc=1cq6r,200,mtqrs-1768795175844-5aa3b764c840,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/enter.segments/enter.segment,www.soulprintengine.ai,soulprint-landing-qu29tk2np-a55ets-projects.vercel.app,dpl_G6iyZKPmnXwodmXH4L8wJs9EAkGS,198,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-19 03:59:35,1768795175844,www.soulprintengine.ai/enter,GET,_rsc=nn07o,200,cp8l6-1768795175844-13b4181ddd8b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,middleware,middleware,www.soulprintengine.ai,soulprint-landing-qu29tk2np-a55ets-projects.vercel.app,dpl_G6iyZKPmnXwodmXH4L8wJs9EAkGS,13,iad1,122,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KFA6GYXEW8B4XBXXY167Q661,fRZOAFHEresV,1
2026-01-19 03:59:35,1768795175844,www.soulprintengine.ai/enter,GET,_rsc=nn07o,200,cp8l6-1768795175844-13b4181ddd8b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/enter.segments/_index.segment,www.soulprintengine.ai,soulprint-landing-qu29tk2np-a55ets-projects.vercel.app,dpl_G6iyZKPmnXwodmXH4L8wJs9EAkGS,,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
